Title,user_id,timestamp,comment,likes,reposts,sentiment
Trump to host talks to prevent government shutdown,user_9473,2025-10-09T01:38:10.545232,Positive developments at last!,7,50,positive
Trump to host talks to prevent government shutdown,user_8210,2025-10-09T01:38:10.545235,Encouraging to see action being taken.,94,43,positive
Trump to host talks to prevent government shutdown,user_9843,2025-10-09T01:38:10.545238,Much needed change at last.,95,24,neutral
Trump to host talks to prevent government shutdown,user_2482,2025-10-09T01:38:10.545241,Encouraging to see action being taken.,38,20,positive
Trump to meet with US military leaders,user_3655,2025-10-09T01:38:10.545247,Positive developments at last!,80,41,positive
Trump to meet with US military leaders,user_4282,2025-10-09T01:38:10.545250,Hope this leads to real progress.,60,36,positive
Trump to meet with US military leaders,user_4186,2025-10-09T01:38:10.545253,Encouraging to see action being taken.,0,12,positive
Trump to meet with US military leaders,user_8332,2025-10-09T01:38:10.545257,I appreciate the transparency.,10,29,positive
Trump to meet with US military leaders,user_1736,2025-10-09T01:38:10.545261,We need more leaders like this.,39,39,positive
Trump to meet with US military leaders,user_2315,2025-10-09T01:38:10.545266,Positive developments at last!,65,17,positive
Trump to meet with US military leaders,user_3474,2025-10-09T01:38:10.545271,"Finally, some good news for the city!",81,30,positive
Trump to meet with US military leaders,user_2720,2025-10-09T01:38:10.545275,"Finally, some good news for the city!",33,9,positive
Trump to meet with US military leaders,user_4387,2025-10-09T01:38:10.545281,We need more leaders like this.,58,48,positive
Trump to meet with US military leaders,user_2383,2025-10-09T01:38:10.545286,Positive developments at last!,53,33,positive
Trump to meet with US military leaders,user_3529,2025-10-09T01:38:10.545292,We need more leaders like this.,76,37,positive
Trump to meet with US military leaders,user_1220,2025-10-09T01:38:10.545296,This is a step in the right direction.,39,38,neutral
Trump to meet with US military leaders,user_1433,2025-10-09T01:38:10.545300,Positive developments at last!,53,45,positive
Trump to meet with US military leaders,user_5606,2025-10-09T01:38:10.545305,Hope this leads to real progress.,31,5,positive
Trump to meet with US military leaders,user_2190,2025-10-09T01:38:10.545309,This is long overdue!,94,3,neutral
Trump to meet with US military leaders,user_4642,2025-10-09T01:38:10.545314,Positive developments at last!,27,34,positive
Trump to meet with US military leaders,user_1419,2025-10-09T01:38:10.545322,Encouraging to see action being taken.,13,27,positive
Trump to meet with US military leaders,user_4159,2025-10-09T01:38:10.545326,This is a step in the right direction.,36,14,neutral
Trump to meet with US military leaders,user_1885,2025-10-09T01:38:10.545332,Positive developments at last!,11,24,positive
Trump to meet with US military leaders,user_4469,2025-10-09T01:38:10.545337,Positive developments at last!,1,32,positive
Russia attacks Ukraine with missiles and drones,user_4289,2025-10-09T01:38:10.545343,I appreciate the transparency.,22,26,positive
Russia attacks Ukraine with missiles and drones,user_2026,2025-10-09T01:38:10.545348,Encouraging to see action being taken.,97,6,positive
Russia attacks Ukraine with missiles and drones,user_6116,2025-10-09T01:38:10.545357,Positive developments at last!,82,27,positive
Russia attacks Ukraine with missiles and drones,user_6576,2025-10-09T01:38:10.545360,"Finally, some good news for the city!",79,21,positive
Russia attacks Ukraine with missiles and drones,user_9165,2025-10-09T01:38:10.545363,This is long overdue!,87,42,neutral
Russia attacks Ukraine with missiles and drones,user_6809,2025-10-09T01:38:10.545366,I support this decision wholeheartedly.,74,26,positive
Russia attacks Ukraine with missiles and drones,user_8381,2025-10-09T01:38:10.545369,We need more leaders like this.,34,6,positive
Russia attacks Ukraine with missiles and drones,user_8697,2025-10-09T01:38:10.545372,"Finally, some good news for the city!",36,15,positive
Russia attacks Ukraine with missiles and drones,user_7593,2025-10-09T01:38:10.545375,I appreciate the transparency.,26,14,positive
Russia attacks Ukraine with missiles and drones,user_2122,2025-10-09T01:38:10.545377,Positive developments at last!,5,34,positive
Russia attacks Ukraine with missiles and drones,user_3845,2025-10-09T01:38:10.545380,Positive developments at last!,16,0,positive
Russia attacks Ukraine with missiles and drones,user_8377,2025-10-09T01:38:10.545383,This is a step in the right direction.,0,22,neutral
Russia attacks Ukraine with missiles and drones,user_4790,2025-10-09T01:38:10.545386,"Finally, some good news for the city!",29,25,positive
Russia attacks Ukraine with missiles and drones,user_8263,2025-10-09T01:38:10.545389,Much needed change at last.,26,5,neutral
Russia attacks Ukraine with missiles and drones,user_4819,2025-10-09T01:38:10.545394,This is a step in the right direction.,3,12,neutral
Russia attacks Ukraine with missiles and drones,user_5384,2025-10-09T01:38:10.545397,I support this decision wholeheartedly.,43,48,positive
Russia attacks Ukraine with missiles and drones,user_4656,2025-10-09T01:38:10.545404,I support this decision wholeheartedly.,88,14,positive
Russia attacks Ukraine with missiles and drones,user_3453,2025-10-09T01:38:10.545409,Hope this leads to real progress.,59,27,positive
Russia attacks Ukraine with missiles and drones,user_8979,2025-10-09T01:38:10.545414,Much needed change at last.,90,13,neutral
Russia attacks Ukraine with missiles and drones,user_7292,2025-10-09T01:38:10.545422,We need more leaders like this.,57,17,positive
Seattle and state prepared as Trump deploys troops to Portland,user_9919,2025-10-09T01:38:10.545425,I appreciate the transparency.,63,21,positive
Seattle and state prepared as Trump deploys troops to Portland,user_1527,2025-10-09T01:38:10.545430,"Finally, some good news for the city!",51,22,positive
Seattle and state prepared as Trump deploys troops to Portland,user_3510,2025-10-09T01:38:10.545435,Positive developments at last!,75,17,positive
Seattle and state prepared as Trump deploys troops to Portland,user_3451,2025-10-09T01:38:10.545439,I appreciate the transparency.,12,4,positive
Seattle and state prepared as Trump deploys troops to Portland,user_2342,2025-10-09T01:38:10.545444,Hope this leads to real progress.,88,47,positive
Seattle and state prepared as Trump deploys troops to Portland,user_7538,2025-10-09T01:38:10.545448,Encouraging to see action being taken.,44,8,positive
Seattle and state prepared as Trump deploys troops to Portland,user_3856,2025-10-09T01:38:10.545453,I appreciate the transparency.,31,22,positive
Seattle and state prepared as Trump deploys troops to Portland,user_2316,2025-10-09T01:38:10.545458,I support this decision wholeheartedly.,17,26,positive
Seattle and state prepared as Trump deploys troops to Portland,user_6742,2025-10-09T01:38:10.545463,I appreciate the transparency.,17,35,positive
Seattle and state prepared as Trump deploys troops to Portland,user_7836,2025-10-09T01:38:10.545468,I support this decision wholeheartedly.,33,17,positive
Seattle and state prepared as Trump deploys troops to Portland,user_1832,2025-10-09T01:38:10.545473,Much needed change at last.,18,28,neutral
Seattle and state prepared as Trump deploys troops to Portland,user_3142,2025-10-09T01:38:10.545478,"Finally, some good news for the city!",87,45,positive
Seattle and state prepared as Trump deploys troops to Portland,user_1089,2025-10-09T01:38:10.545483,Hope this leads to real progress.,28,27,positive
Seattle and state prepared as Trump deploys troops to Portland,user_9983,2025-10-09T01:38:10.545488,Positive developments at last!,3,42,positive
Seattle and state prepared as Trump deploys troops to Portland,user_1997,2025-10-09T01:38:10.545493,We need more leaders like this.,18,23,positive
Seattle and state prepared as Trump deploys troops to Portland,user_9794,2025-10-09T01:38:10.545497,Positive developments at last!,28,50,positive
Seattle and state prepared as Trump deploys troops to Portland,user_3530,2025-10-09T01:38:10.545502,I appreciate the transparency.,83,11,positive
Seattle and state prepared as Trump deploys troops to Portland,user_7379,2025-10-09T01:38:10.545507,Encouraging to see action being taken.,29,1,positive
Seattle and state prepared as Trump deploys troops to Portland,user_2503,2025-10-09T01:38:10.545510,We need more leaders like this.,57,4,positive
Seattle and state prepared as Trump deploys troops to Portland,user_1296,2025-10-09T01:38:10.545513,This is a step in the right direction.,44,33,neutral
Des Moines superintendent on leave after ICE detention,user_4453,2025-10-09T01:38:10.545516,I support this decision wholeheartedly.,39,11,positive
Des Moines superintendent on leave after ICE detention,user_3508,2025-10-09T01:38:10.545519,This is long overdue!,12,10,neutral
Des Moines superintendent on leave after ICE detention,user_5297,2025-10-09T01:38:10.545522,This is long overdue!,69,41,neutral
Des Moines superintendent on leave after ICE detention,user_5895,2025-10-09T01:38:10.545525,This is a step in the right direction.,96,19,neutral
Des Moines superintendent on leave after ICE detention,user_3322,2025-10-09T01:38:10.545528,This is a step in the right direction.,41,23,neutral
Des Moines superintendent on leave after ICE detention,user_3044,2025-10-09T01:38:10.545531,This is a step in the right direction.,66,39,neutral
Des Moines superintendent on leave after ICE detention,user_1746,2025-10-09T01:38:10.545534,I support this decision wholeheartedly.,43,28,positive
Des Moines superintendent on leave after ICE detention,user_5987,2025-10-09T01:38:10.545537,Much needed change at last.,14,29,neutral
Des Moines superintendent on leave after ICE detention,user_2745,2025-10-09T01:38:10.545540,Hope this leads to real progress.,23,46,positive
Des Moines superintendent on leave after ICE detention,user_5254,2025-10-09T01:38:10.545543,"Finally, some good news for the city!",82,44,positive
Des Moines superintendent on leave after ICE detention,user_7619,2025-10-09T01:38:10.545546,Encouraging to see action being taken.,7,10,positive
Des Moines superintendent on leave after ICE detention,user_4389,2025-10-09T01:38:10.545549,"Finally, some good news for the city!",46,10,positive
Des Moines superintendent on leave after ICE detention,user_1288,2025-10-09T01:38:10.545552,Much needed change at last.,52,3,neutral
Des Moines superintendent on leave after ICE detention,user_2755,2025-10-09T01:38:10.545555,Much needed change at last.,71,27,neutral
Des Moines superintendent on leave after ICE detention,user_1862,2025-10-09T01:38:10.545558,Encouraging to see action being taken.,39,0,positive
Des Moines superintendent on leave after ICE detention,user_7377,2025-10-09T01:38:10.545561,This is a step in the right direction.,61,12,neutral
Des Moines superintendent on leave after ICE detention,user_7888,2025-10-09T01:38:10.545564,Encouraging to see action being taken.,70,43,positive
Des Moines superintendent on leave after ICE detention,user_8484,2025-10-09T01:38:10.545567,I appreciate the transparency.,75,23,positive
Des Moines superintendent on leave after ICE detention,user_9338,2025-10-09T01:38:10.545570,This is a step in the right direction.,40,5,neutral
Des Moines superintendent on leave after ICE detention,user_1817,2025-10-09T01:38:10.545572,Positive developments at last!,61,12,positive
"Dallin Oaks, focusing on LGBTQ+ issues, likely to lead LDS Church",user_6175,2025-10-09T01:38:10.545576,"Finally, some good news for the city!",85,47,positive
"Dallin Oaks, focusing on LGBTQ+ issues, likely to lead LDS Church",user_3603,2025-10-09T01:38:10.545579,Encouraging to see action being taken.,39,3,positive
"Dallin Oaks, focusing on LGBTQ+ issues, likely to lead LDS Church",user_5104,2025-10-09T01:38:10.545582,"Finally, some good news for the city!",73,12,positive
"Dallin Oaks, focusing on LGBTQ+ issues, likely to lead LDS Church",user_6507,2025-10-09T01:38:10.545585,This is long overdue!,24,2,neutral
"Dallin Oaks, focusing on LGBTQ+ issues, likely to lead LDS Church",user_9664,2025-10-09T01:38:10.545588,"Finally, some good news for the city!",30,45,positive
"Dallin Oaks, focusing on LGBTQ+ issues, likely to lead LDS Church",user_5531,2025-10-09T01:38:10.545590,Encouraging to see action being taken.,34,33,positive
"Dallin Oaks, focusing on LGBTQ+ issues, likely to lead LDS Church",user_2833,2025-10-09T01:38:10.545593,I appreciate the transparency.,60,17,positive
"Dallin Oaks, focusing on LGBTQ+ issues, likely to lead LDS Church",user_4570,2025-10-09T01:38:10.545597,We need more leaders like this.,70,9,positive
"Dallin Oaks, focusing on LGBTQ+ issues, likely to lead LDS Church",user_6796,2025-10-09T01:38:10.545599,I support this decision wholeheartedly.,43,20,positive
"Dallin Oaks, focusing on LGBTQ+ issues, likely to lead LDS Church",user_8776,2025-10-09T01:38:10.545602,This is long overdue!,99,38,neutral
"Dallin Oaks, focusing on LGBTQ+ issues, likely to lead LDS Church",user_5969,2025-10-09T01:38:10.545605,I appreciate the transparency.,69,37,positive
"Dallin Oaks, focusing on LGBTQ+ issues, likely to lead LDS Church",user_8972,2025-10-09T01:38:10.545609,We need more leaders like this.,36,18,positive
"Dallin Oaks, focusing on LGBTQ+ issues, likely to lead LDS Church",user_7362,2025-10-09T01:38:10.545612,Positive developments at last!,73,11,positive
"Dallin Oaks, focusing on LGBTQ+ issues, likely to lead LDS Church",user_5911,2025-10-09T01:38:10.545615,This is long overdue!,15,17,neutral
"Dallin Oaks, focusing on LGBTQ+ issues, likely to lead LDS Church",user_3965,2025-10-09T01:38:10.545618,"Finally, some good news for the city!",58,49,positive
"Dallin Oaks, focusing on LGBTQ+ issues, likely to lead LDS Church",user_8147,2025-10-09T01:38:10.545621,I appreciate the transparency.,33,28,positive
"Dallin Oaks, focusing on LGBTQ+ issues, likely to lead LDS Church",user_7269,2025-10-09T01:38:10.545623,Positive developments at last!,75,32,positive
"Dallin Oaks, focusing on LGBTQ+ issues, likely to lead LDS Church",user_9762,2025-10-09T01:38:10.545626,This is long overdue!,73,17,neutral
"Dallin Oaks, focusing on LGBTQ+ issues, likely to lead LDS Church",user_4140,2025-10-09T01:38:10.545629,Hope this leads to real progress.,97,32,positive
"Dallin Oaks, focusing on LGBTQ+ issues, likely to lead LDS Church",user_1028,2025-10-09T01:38:10.545632,Positive developments at last!,86,3,positive
Change in forecasted path of Tropical Depression Nine,user_4953,2025-10-09T01:38:10.545636,Encouraging to see action being taken.,74,45,positive
Change in forecasted path of Tropical Depression Nine,user_4980,2025-10-09T01:38:10.545639,Hope this leads to real progress.,1,18,positive
Change in forecasted path of Tropical Depression Nine,user_5412,2025-10-09T01:38:10.545643,Encouraging to see action being taken.,28,50,positive
Change in forecasted path of Tropical Depression Nine,user_9183,2025-10-09T01:38:10.545648,Positive developments at last!,55,32,positive
Change in forecasted path of Tropical Depression Nine,user_3935,2025-10-09T01:38:10.545654,I support this decision wholeheartedly.,13,0,positive
Change in forecasted path of Tropical Depression Nine,user_9869,2025-10-09T01:38:10.545660,"Finally, some good news for the city!",95,39,positive
Change in forecasted path of Tropical Depression Nine,user_1728,2025-10-09T01:38:10.545662,I appreciate the transparency.,65,45,positive
Change in forecasted path of Tropical Depression Nine,user_2485,2025-10-09T01:38:10.545665,This is a step in the right direction.,18,31,neutral
Change in forecasted path of Tropical Depression Nine,user_5382,2025-10-09T01:38:10.545668,Much needed change at last.,38,34,neutral
Change in forecasted path of Tropical Depression Nine,user_1883,2025-10-09T01:38:10.545671,"Finally, some good news for the city!",22,14,positive
Change in forecasted path of Tropical Depression Nine,user_5068,2025-10-09T01:38:10.545674,"Finally, some good news for the city!",82,7,positive
Change in forecasted path of Tropical Depression Nine,user_2558,2025-10-09T01:38:10.545677,Positive developments at last!,83,8,positive
Change in forecasted path of Tropical Depression Nine,user_4316,2025-10-09T01:38:10.545679,This is a step in the right direction.,15,40,neutral
Change in forecasted path of Tropical Depression Nine,user_1815,2025-10-09T01:38:10.545682,I appreciate the transparency.,28,36,positive
Change in forecasted path of Tropical Depression Nine,user_7603,2025-10-09T01:38:10.545685,I appreciate the transparency.,68,33,positive
Change in forecasted path of Tropical Depression Nine,user_5715,2025-10-09T01:38:10.545688,This is a step in the right direction.,52,3,neutral
Change in forecasted path of Tropical Depression Nine,user_3718,2025-10-09T01:38:10.545691,This is a step in the right direction.,3,17,neutral
Change in forecasted path of Tropical Depression Nine,user_1417,2025-10-09T01:38:10.545694,Hope this leads to real progress.,88,38,positive
Change in forecasted path of Tropical Depression Nine,user_2655,2025-10-09T01:38:10.545697,Positive developments at last!,5,50,positive
Change in forecasted path of Tropical Depression Nine,user_5233,2025-10-09T01:38:10.545700,I support this decision wholeheartedly.,71,37,positive
Trump Administration's push to prosecute James Comey,user_9419,2025-10-09T01:38:10.545704,Positive developments at last!,8,28,positive
Trump Administration's push to prosecute James Comey,user_2154,2025-10-09T01:38:10.545707,"Finally, some good news for the city!",76,22,positive
Trump Administration's push to prosecute James Comey,user_4400,2025-10-09T01:38:10.545710,Positive developments at last!,97,47,positive
Trump Administration's push to prosecute James Comey,user_9586,2025-10-09T01:38:10.545713,We need more leaders like this.,66,21,positive
Trump Administration's push to prosecute James Comey,user_3598,2025-10-09T01:38:10.545715,This is long overdue!,13,33,neutral
Trump Administration's push to prosecute James Comey,user_9809,2025-10-09T01:38:10.545718,Hope this leads to real progress.,76,17,positive
Trump Administration's push to prosecute James Comey,user_5473,2025-10-09T01:38:10.545721,We need more leaders like this.,37,23,positive
Trump Administration's push to prosecute James Comey,user_4346,2025-10-09T01:38:10.545724,Hope this leads to real progress.,23,5,positive
Trump Administration's push to prosecute James Comey,user_8136,2025-10-09T01:38:10.545727,Hope this leads to real progress.,26,32,positive
Trump Administration's push to prosecute James Comey,user_3786,2025-10-09T01:38:10.545730,I appreciate the transparency.,48,13,positive
Trump Administration's push to prosecute James Comey,user_1552,2025-10-09T01:38:10.545733,Encouraging to see action being taken.,48,3,positive
Trump Administration's push to prosecute James Comey,user_1160,2025-10-09T01:38:10.545736,This is long overdue!,83,30,neutral
Trump Administration's push to prosecute James Comey,user_5813,2025-10-09T01:38:10.545739,We need more leaders like this.,61,39,positive
Trump Administration's push to prosecute James Comey,user_3340,2025-10-09T01:38:10.545742,Encouraging to see action being taken.,72,19,positive
Trump Administration's push to prosecute James Comey,user_5888,2025-10-09T01:38:10.545745,Much needed change at last.,60,20,neutral
Trump Administration's push to prosecute James Comey,user_8592,2025-10-09T01:38:10.545748,I support this decision wholeheartedly.,59,32,positive
Trump Administration's push to prosecute James Comey,user_1043,2025-10-09T01:38:10.545751,I appreciate the transparency.,91,8,positive
Trump Administration's push to prosecute James Comey,user_9897,2025-10-09T01:38:10.545754,I appreciate the transparency.,97,26,positive
Trump Administration's push to prosecute James Comey,user_2010,2025-10-09T01:38:10.545760,I appreciate the transparency.,32,14,positive
Trump Administration's push to prosecute James Comey,user_8899,2025-10-09T01:38:10.545763,Encouraging to see action being taken.,0,17,positive
Moldovans vote in election with Russian interference claims,user_2686,2025-10-09T01:38:10.545767,This is a step in the right direction.,50,41,neutral
Moldovans vote in election with Russian interference claims,user_4261,2025-10-09T01:38:10.545770,We need more leaders like this.,3,44,positive
Moldovans vote in election with Russian interference claims,user_3463,2025-10-09T01:38:10.545772,This is a step in the right direction.,52,1,neutral
Moldovans vote in election with Russian interference claims,user_2829,2025-10-09T01:38:10.545775,I support this decision wholeheartedly.,81,22,positive
Moldovans vote in election with Russian interference claims,user_4567,2025-10-09T01:38:10.545778,Encouraging to see action being taken.,89,17,positive
Moldovans vote in election with Russian interference claims,user_5757,2025-10-09T01:38:10.545781,This is long overdue!,57,45,neutral
Moldovans vote in election with Russian interference claims,user_9503,2025-10-09T01:38:10.545785,Much needed change at last.,100,44,neutral
Moldovans vote in election with Russian interference claims,user_2405,2025-10-09T01:38:10.545788,This is long overdue!,46,44,neutral
Moldovans vote in election with Russian interference claims,user_9207,2025-10-09T01:38:10.545791,Much needed change at last.,69,42,neutral
Moldovans vote in election with Russian interference claims,user_2462,2025-10-09T01:38:10.545793,"Finally, some good news for the city!",65,28,positive
Moldovans vote in election with Russian interference claims,user_5271,2025-10-09T01:38:10.545796,This is a step in the right direction.,69,3,neutral
Moldovans vote in election with Russian interference claims,user_6130,2025-10-09T01:38:10.545799,"Finally, some good news for the city!",58,47,positive
Moldovans vote in election with Russian interference claims,user_9772,2025-10-09T01:38:10.545802,Positive developments at last!,14,43,positive
Moldovans vote in election with Russian interference claims,user_1015,2025-10-09T01:38:10.545805,I appreciate the transparency.,21,6,positive
Moldovans vote in election with Russian interference claims,user_3653,2025-10-09T01:38:10.545808,I appreciate the transparency.,6,50,positive
Moldovans vote in election with Russian interference claims,user_9137,2025-10-09T01:38:10.545810,Positive developments at last!,72,41,positive
Moldovans vote in election with Russian interference claims,user_3435,2025-10-09T01:38:10.545813,Positive developments at last!,54,3,positive
Moldovans vote in election with Russian interference claims,user_1051,2025-10-09T01:38:10.545816,I appreciate the transparency.,54,27,positive
Moldovans vote in election with Russian interference claims,user_9602,2025-10-09T01:38:10.545819,Much needed change at last.,43,14,neutral
Moldovans vote in election with Russian interference claims,user_4963,2025-10-09T01:38:10.545822,I support this decision wholeheartedly.,88,18,positive
Iran sanctions reimposed after nuclear deal,user_2121,2025-10-09T01:38:10.545825,This is a step in the right direction.,97,34,neutral
Iran sanctions reimposed after nuclear deal,user_6878,2025-10-09T01:38:10.545828,"Finally, some good news for the city!",86,24,positive
Iran sanctions reimposed after nuclear deal,user_9587,2025-10-09T01:38:10.545831,Positive developments at last!,65,38,positive
Iran sanctions reimposed after nuclear deal,user_6764,2025-10-09T01:38:10.545834,Much needed change at last.,26,20,neutral
Iran sanctions reimposed after nuclear deal,user_9621,2025-10-09T01:38:10.545838,We need more leaders like this.,63,48,positive
Iran sanctions reimposed after nuclear deal,user_7806,2025-10-09T01:38:10.545840,Positive developments at last!,9,3,positive
Iran sanctions reimposed after nuclear deal,user_8017,2025-10-09T01:38:10.545843,"Finally, some good news for the city!",52,42,positive
Iran sanctions reimposed after nuclear deal,user_4328,2025-10-09T01:38:10.545846,This is a step in the right direction.,88,19,neutral
Iran sanctions reimposed after nuclear deal,user_4762,2025-10-09T01:38:10.545849,This is long overdue!,83,41,neutral
Iran sanctions reimposed after nuclear deal,user_5939,2025-10-09T01:38:10.545852,This is a step in the right direction.,11,34,neutral
Iran sanctions reimposed after nuclear deal,user_3152,2025-10-09T01:38:10.545855,Positive developments at last!,30,3,positive
Iran sanctions reimposed after nuclear deal,user_7713,2025-10-09T01:38:10.545857,I appreciate the transparency.,73,40,positive
Iran sanctions reimposed after nuclear deal,user_4886,2025-10-09T01:38:10.545860,This is a step in the right direction.,43,29,neutral
Iran sanctions reimposed after nuclear deal,user_2586,2025-10-09T01:38:10.545863,Positive developments at last!,38,45,positive
Iran sanctions reimposed after nuclear deal,user_7077,2025-10-09T01:38:10.545866,We need more leaders like this.,82,18,positive
Iran sanctions reimposed after nuclear deal,user_3215,2025-10-09T01:38:10.545868,We need more leaders like this.,57,50,positive
Iran sanctions reimposed after nuclear deal,user_2411,2025-10-09T01:38:10.545872,This is a step in the right direction.,46,26,neutral
Iran sanctions reimposed after nuclear deal,user_7280,2025-10-09T01:38:10.545875,"Finally, some good news for the city!",98,39,positive
